Date,삼성전자,삼성전자_증감,SK하이닉스,SK하이닉스_증감,현대차,현대차_증감,한화오션,한화오션_증감,와이지엔터테인먼트,와이지엔터테인먼트_증감,효성중공업,효성중공업_증감,한국카본,한국카본_증감,한국항공우주,한국항공우주_증감,이수페타시스,이수페타시스_증감,에이피알,에이피알_증감,실리콘투,실리콘투_증감,한화비전,한화비전_증감,HD현대중공업,HD현대중공업_증감,LS ELECTRIC,LS ELECTRIC_증감,한화시스템,한화시스템_증감,삼성전기,삼성전기_증감,삼양식품,삼양식품_증감,HD현대일렉트릭,HD현대일렉트릭_증감,하이브,하이브_증감,에코프로,에코프로_증감,한화에어로스페이스,한화에어로스페이스_증감,한미반도체,한미반도체_증감,LIG넥스원,LIG넥스원_증감
2026-03-03,11.86,-,9.62,-,5.48,-,5.14,-,4.66,-,4.32,-,4.05,-,4.02,-,3.73,-,3.68,-,3.35,-,3.35,-,3.34,-,3.06,-,2.64,-,2.48,-,2.44,-,2.35,-,2.33,-,1.98,-,,,,,,
2026-03-04,11.29,0,9.0,0,5.11,0,5.21,0,4.51,0,4.21,0,4.14,0,4.38,0,3.55,0,3.55,0,3.33,0,3.14,0,3.45,0,2.93,0,3.6,0,2.39,0,2.48,0,2.33,0,2.28,0,1.86,0,1.96,0,,,,
2026-03-05,11.07,🔵▼ 16,9.12,🔵▼ 2,4.95,0,4.8,0,4.8,0,3.95,🔵▼ 1,4.26,0,4.04,0,3.51,0,3.63,🔵▼ 5,3.34,0,3.15,0,3.44,0,2.96,0,4.17,🔴▲ 54,2.44,0,2.38,🔵▼ 1,2.25,🔵▼ 1,2.39,0,1.38,🔵▼ 19,2.46,🔴▲ 2,2.49,🔴▲ 67,,
2026-03-06,11.04,0,9.05,0,4.85,0,4.84,0,4.41,0,3.82,0,4.04,0,4.09,0,3.68,0,3.45,0,3.22,0,3.35,0,3.37,0,2.97,0,4.86,0,2.42,0,2.18,0,2.27,0,2.24,0,1.49,0,2.3,0,2.71,0,2.35,0
2026-03-09,10.53,0,8.64,0,4.76,0,4.88,0,4.63,0,3.71,0,4.27,0,4.07,0,3.54,0,3.62,0,3.23,0,3.56,0,3.24,0,2.9,0,4.97,0,2.37,0,2.11,0,2.17,0,2.24,0,1.53,0,2.4,0,2.78,0,2.49,0
2026-03-10,9.73,🔵▼ 22,7.8,🔵▼ 4,4.6,0,5.02,0,4.55,0,3.77,0,4.82,0,4.07,0,3.38,0,3.51,🔵▼ 5,1.99,🔵▼ 228,3.48,0,3.56,0,2.95,0,6.37,🔴▲ 47,2.36,0,2.01,🔵▼ 1,2.14,0,2.32,0,1.55,0,2.45,0,2.68,0,2.51,0
2026-03-11,10.17,0,8.44,0,4.59,0,4.87,0,4.52,0,3.88,0,4.43,0,3.93,0,3.57,0,3.44,0,2.05,0,3.36,0,3.47,0,3.03,0,5.9,0,2.4,0,1.96,0,2.15,0,2.27,0,1.5,0,2.4,0,2.75,0,2.31,0
2026-03-12,10.21,0,8.53,0,4.6,0,5.2,0,4.28,0,3.83,0,4.86,0,3.93,0,3.43,0,3.61,0,1.99,0,3.27,0,3.49,0,3.0,0,5.54,0,2.4,0,2.11,0,2.13,0,2.27,0,1.46,0,2.31,0,2.64,0,2.24,0
2026-03-13,10.05,0,8.27,0,4.5,0,5.29,0,4.23,0,3.85,0,4.91,0,4.01,0,3.38,0,3.64,0,1.93,0,3.29,0,3.56,0,3.06,0,5.69,0,2.35,0,2.02,0,2.13,0,2.27,0,1.42,0,2.39,0,2.66,0,2.27,0
2026-03-16,9.91,0,8.17,0,4.51,0,5.35,0,4.3,0,3.94,0,4.83,0,4.11,0,3.36,0,3.9,0,1.94,0,3.23,0,3.54,0,3.12,0,5.44,0,2.38,0,2.06,0,2.11,0,2.33,0,1.37,0,2.45,0,2.59,0,2.19,0
2026-03-17,10.27,0,8.81,0,4.45,0,5.19,0,4.21,0,3.85,0,4.79,0,4.34,0,3.34,0,3.77,0,1.88,0,3.33,0,3.49,0,3.08,0,5.32,0,2.47,0,1.98,0,2.08,0,2.27,0,1.34,0,2.44,0,2.56,0,2.23,0
2026-03-18,10.35,0,8.61,0,4.5,0,5.13,0,4.17,0,3.82,0,3.46,🔵▼ 251,5.48,🔴▲ 39,3.54,0,4.1,🔴▲ 4,2.0,0,4.2,🔴▲ 104,3.45,0,3.14,0,5.18,0,2.62,0,2.03,0,2.1,0,2.33,0,1.34,0,2.27,0,2.52,0,2.12,0
2026-03-19,10.72,0,9.03,0,4.53,0,5.54,🔴▲ 37,4.01,0,3.95,0,2.36,🔵▼ 167,5.08,0,3.74,0,4.1,0,1.92,0,5.36,🔴▲ 94,3.34,0,3.31,0,5.02,0,2.68,🔴▲ 1,2.0,0,2.11,0,2.26,0,1.34,0,2.18,0,2.51,0,1.99,0
2026-03-20,10.45,0,8.78,0,4.4,0,5.89,🔴▲ 25,3.93,0,3.95,0,1.37,🔵▼ 170,5.04,0,3.92,0,4.23,0,1.87,0,6.69,🔴▲ 97,3.25,0,3.52,0,5.13,0,2.81,0,2.01,0,2.11,0,2.03,🔵▼ 4,1.33,0,2.18,0,2.51,0,2.06,0
2026-03-23,10.46,"0 | ₩199,400 (-0.55%)",8.78,"0 | ₩1,007,000 (-0.59%)",4.38,"0 | ₩517,000 (-0.96%)",5.88,"0 | ₩129,100 (-0.69%)",3.93,"0 | ₩59,800 (-0.50%)",4.03,"0 | ₩2,735,000 (+1.56%)",1.42,"0 | ₩49,800 (+3.00%)",4.95,"0 | ₩185,700 (-2.47%)",3.86,"0 | ₩126,800 (-2.08%)",4.15,"0 | ₩359,500 (-2.57%)",1.99,"0 | ₩38,500 (+5.48%)",6.74,"0 | ₩87,400 (+0.23%)",3.23,"0 | ₩559,000 (-1.41%)",3.59,"0 | ₩886,000 (+1.49%)",4.98,"0 | ₩136,000 (-3.55%)",2.74,"0 | ₩464,500 (-3.13%)",2.12,"0 | ₩1,151,000 (+4.64%)",2.12,"0 | ₩959,000 (+0.10%)",1.99,"0 | ₩344,000 (-2.96%)",1.33,"0 | ₩150,900 (-0.13%)",2.11,"0 | ₩1,320,000 (-4.00%)",2.55,"0 | ₩309,500 (+0.81%)",1.95,"0 | ₩661,000 (-5.84%)"
